Leading candidate in the first round has between 45-50% first choice votes,Leading candidate in the first round has greater than 50% first choice votes,Leading candidate in the first round has less than 45% of first choice votes,ballot file,lookup_table,name or ID of top-ranked candidate,number of candidates,number of first choice votes,percentage of votes in first round for leading candidate
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_City Attorney - Oakland_Nov 2012.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/master_lookup_City Attorney - Oakland_Nov 2012.txt",BARBARA PARKER,3,131134,68.42390226790917
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 3 - Berkeley_Nov 2012.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/master_lookup_Member, City Council, District 3 - Berkeley_Nov 2012.txt",MAX ANDERSON,3,5168,60.35216718266254
Yes,No,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, At-Large - Oakland_Nov 2012.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/master_lookup_Member, City Council, At-Large - Oakland_Nov 2012.txt",REBECCA KAPLAN,6,144158,45.04293899748887
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 1- Oakland_Nov 2012.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/master_lookup_Member, City Council, District 1- Oakland_Nov 2012.txt",DAN KALB,8,28600,28.821678321678323
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 2 - Berkeley_Nov 2012.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/master_lookup_Member, City Council, District 2 - Berkeley_Nov 2012.txt",DARRYL MOORE,4,5782,58.682116914562435
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 2 - San Leandro_Nov 2012.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/master_lookup_Member, City Council, District 2 - San Leandro_Nov 2012.txt",URSULA REED,4,25377,42.191748433620994
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Mayor - Berkeley_Nov 2012.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/master_lookup_Mayor - Berkeley_Nov 2012.txt",TOM BATES,8,52940,54.089535323007176
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 4 - San Leandro_Nov 2012.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2012/master_lookup_Member, City Council, District 4 - San Leandro_Nov 2012.txt",BENNY LEE,5,23201,44.153269255635536
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 7 - Berkeley_Nov 2014.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2014/master_lookup_Member, City Council, District 7 - Berkeley_Nov 2014.txt",KRISS WORTHINGTON,2,1494,55.68942436412316
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 8 - Berkeley_Nov 2014.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2014/master_lookup_Member, City Council, District 8 - Berkeley_Nov 2014.txt",LORI DROSTE,4,4500,29.2
