ballot file,lookup_table,name or ID of top-ranked candidate,number of candidates,number of first choice votes,percentage of votes in first round for leading candidate
voting_data/San_Fransisco/San Francisco/San Fran_Nov 2010_District 10 Supervisors/BallotImage-D10.txt,voting_data/San_Fransisco/San Francisco/San Fran_Nov 2010_District 10 Supervisors/MasterLookup-D10.txt,LYNETTE SWEET,22,17705,12.070036712792996
voting_data/San_Fransisco/San Francisco/San Fran_Nov 2010_District 2 Supervisors/BallotImage-D2.txt,voting_data/San_Fransisco/San Francisco/San Fran_Nov 2010_District 2 Supervisors/MasterLookup-D2.txt,JANET REILLY,7,24030,41.090303786933
voting_data/San_Fransisco/San Francisco/2015 All offices/20151119_ballotimage.txt,voting_data/San_Fransisco/San Francisco/2015 All offices/20151119_masterlookup.txt,VICKI HENNESSY,17,390615,28.95715730322696
voting_data/San_Fransisco/San Francisco/San Fran_Nov 2014_District 10 Supervisors/D10_BallotImage.txt,voting_data/San_Fransisco/San Francisco/San Fran_Nov 2014_District 10 Supervisors/D10_MasterLookup.txt,MALIA COHEN,5,15312,46.63662486938349
voting_data/San_Fransisco/San Francisco/San Fran Nov 2011 Sheriff/Sheriff-BallotImage.txt,voting_data/San_Fransisco/San Francisco/San Fran Nov 2011 Sheriff/Sheriff-MasterLookUp.txt,ROSS MIRKARIMI,4,182519,38.463940740416064
voting_data/San_Fransisco/San Francisco/San Fran Nov 2011 District Attorney/DA-BallotImage.txt,voting_data/San_Fransisco/San Francisco/San Fran Nov 2011 District Attorney/DA-MasterLookUp.txt,GEORGE GASCÓN,5,182955,41.563772512366434
voting_data/San_Fransisco/San Francisco/San Fran_Nov 2010_District 8 Supervisors/BallotImage-D8.txt,voting_data/San_Fransisco/San Francisco/San Fran_Nov 2010_District 8 Supervisors/MasterLookup-D8.txt,SCOTT WIENER,5,34892,42.40800183423134
voting_data/San_Fransisco/San Francisco/San Fran Nov 2011 Mayor/Mayor-BallotImage.txt,voting_data/San_Fransisco/San Francisco/San Fran Nov 2011 Mayor/Mayor-MasterLookup.txt,ED LEE,23,194046,30.74683322511157
voting_data/San_Fransisco/San Francisco/San Fran_Nov 2012_District 7 Supervisors/D7-BallotImage.txt,voting_data/San_Fransisco/San Francisco/San Fran_Nov 2012_District 7 Supervisors/D7-MasterLookup.txt,NORMAN YEE,9,31276,29.230080572963296
voting_data/San_Fransisco/San Francisco/San Fran_Nov 2010_District 6 Supervisors/BallotImage-D6.txt,voting_data/San_Fransisco/San Francisco/San Fran_Nov 2010_District 6 Supervisors/MasterLookup-D6.txt,JANE KIM,15,20985,31.408148677626873
voting_data/San_Fransisco/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt,voting_data/San_Fransisco/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,LONDON BREED,28,191316,11.142821300884401
voting_data/San_Fransisco/San Francisco/San Fran June 2018/20180621_ballotimage.txt,voting_data/San_Fransisco/San Francisco/San Fran June 2018/20180621_masterlookup.txt,LONDON BREED,12,283553,32.41651472564212
voting_data/San_Fransisco/San Francisco/San Fran_Nov 2012_District 5 Supervisors/D5-BallotImage.txt,voting_data/San_Fransisco/San Francisco/San Fran_Nov 2012_District 5 Supervisors/D5-MasterLookup.txt,LONDON BREED,8,35022,27.96527896750614
voting_data/San_Fransisco/San Francisco/San Fran_Nov 2008_All District races/CityWide_Ballot_Image.txt,voting_data/San_Fransisco/San Francisco/San Fran_Nov 2008_All District races/CityWide_MasterLookup.txt,ROSS MIRKARIMI,44,202492,13.571894198289314
